股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.600000,2512.0,0.00025813683021059006,0.014333989943941548,-0.10556292432160817,-0.00638474742212711,0.0,0.006263768551171874,0.0956966038186963,0.012390197365917982,7.746716942465078
sh.600004,2547.0,9.732793943701373e-05,0.022995307436474023,-0.10565964817576137,-0.010810643856412507,0.0,0.010827080429132644,0.09563364737952118,-0.31665306345410027,3.773165111904616
sh.600005,427.0,-0.0003411302460723996,0.0376711968953368,-0.1061900470202017,-0.015748356968139227,0.0,0.01872134117876418,0.09617014832514659,-0.29812271466040524,1.553675045946611
sh.600008,2528.0,-8.837177177281959e-05,0.022667525403381614,-0.10638040355857173,-0.008664327700701212,0.0,0.008817117711740666,0.09616342217690896,-0.3120616945045165,7.303195762570182
sh.600009,2534.0,0.00020315399639843305,0.022203658780139413,-0.10544381081426107,-0.010697798046692669,-0.0001442687835765245,0.009637753961365242,0.09527575698887948,-0.06445946284503842,3.9239313025623335
sh.600010,2537.0,-0.00020159667093327824,0.02488428232526682,-0.10601819407679704,-0.010471299867295366,0.0,0.008968669982760316,0.09742211300746852,0.19913492565592017,4.795251966427525
sh.600011,2547.0,-5.011810661406929e-06,0.024174537566475758,-0.10576611290532545,-0.011062181539878313,0.0,0.010086546081960674,0.09626666003028161,0.026542096684183916,4.118281262194327
sh.600015,2547.0,0.00011072265160034714,0.01435289253800752,-0.1056883307730386,-0.005962795121892132,0.0,0.006005395518047688,0.09507310061876675,-0.26809380957296797,8.974681697640936
sh.600016,2547.0,-6.643017692555008e-05,0.013239752237359115,-0.10525169580897847,-0.005415180098793288,0.0,0.005110747370672233,0.09577638458403087,0.11870901409919371,10.716811275055015
sh.600018,2543.0,5.407328196417539e-05,0.02055952543315679,-0.10536051565782628,-0.00872416603559922,0.0,0.008680616605533344,0.09602857063981855,-0.05422311996811595,6.718346177541102
sh.600019,2452.0,7.522565032133996e-05,0.02290224259467516,-0.10578960813383709,-0.010493385718707645,0.0,0.010586114745858412,0.0959833538452294,-0.14360278985367142,3.8960461494706595
sh.600021,2468.0,6.821073113359762e-05,0.0267998890162016,-0.10595646323207901,-0.010111702894166628,0.0,0.008871860710686446,0.0956789113719244,-0.017346720228184485,5.010830715404256
sh.600022,2449.0,-0.00020088097793410106,0.02249456382783126,-0.10626919359404441,-0.008097210232619362,0.0,0.008032171697264253,0.09630322854531653,-0.29126764431924385,6.010046577801299
sh.600023,2547.0,2.515918816028468e-06,0.019785370319253814,-0.10591901888373739,-0.007428081412567454,0.0,0.007677609184362371,0.0962517994595859,-0.3373512880480965,7.989118462508662
sh.600025,1826.0,0.0007268829504427193,0.019164198086543422,-0.10484022428292589,-0.008946938525925957,0.0,0.009155717038521773,0.09640487066350642,0.7667743764267896,6.711282626645458
sh.600026,2445.0,7.944494323682021e-05,0.029618011648162905,-0.10590532634959128,-0.013739175883304046,0.0,0.012820688429061469,0.09592012187873945,0.03791285191445651,2.495128521189303
