统计量,股票市场,商品期货,债券市场
总观测数,1453269.0,59733.0,46654.0
均值,22.68546093373529,20678.32976780004,92.88441535559653
标准差,59.254241054780316,46122.519119872006,42.206735698230005
最小值,0.14,206.6,0.663
25%分位,5.37060867,2444.0,99.22625
中位数,10.51679421,3786.0,103.299
75%分位,21.5421444,13110.0,115.01
最大值,2279.85453,391400.0,146.14
偏度,17.67036510819928,3.48665121067214,-1.4543995012677882
峰度,439.82346514024823,13.220635540532996,0.7228798546599333
