,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
interest_rate,2814.0,2.20972434257285,0.5096487309154796,1.299,1.82,2.201,2.589,4.773,1.0383989335198545,3.729326233989181
vix,2814.0,21.078184068187635,7.632414850813412,8.31,16.22,19.34,23.3875,63.79,1.8825007959161393,5.091859005778344
