统计量,股票市场,商品期货,债券市场
总观测数,1451058.0,59709.0,46639.0
均值,0.0001320983385421928,0.00017665844531296232,7.901677901009004e-05
标准差,0.027141876627742943,0.018378672056718642,0.005037793735408581
最小值,-0.2242240484479639,-0.31374406948803885,-0.1057553044509523
25%分位,-0.012331211207199076,-0.00650122753326466,0.0
中位数,0.0,0.000126334407343929,0.0
75%分位,0.011661939747842957,0.007104825623744582,0.00014643365526247174
最大值,0.2546568170202866,2.004728835651055,0.0956826886557176
偏度,0.08987133526134546,21.310014655392393,-0.3402949866691082
峰度,3.9347463093640855,2378.8261243341008,101.4244214356104
