date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2017-01-17,96.5,96.83,96.485,96.6,35413,0,0.0,10年期国债期货,CFFEX,T0
2017-01-18,96.65,96.945,96.585,96.65,30467,0,0.0,10年期国债期货,CFFEX,T0
2017-01-19,96.525,97.05,96.405,96.94,37479,0,0.0,10年期国债期货,CFFEX,T0
2017-01-20,96.94,97.375,96.85,97.235,38971,0,0.0,10年期国债期货,CFFEX,T0
2017-01-23,97.2,97.31,97.03,97.085,18444,0,0.0,10年期国债期货,CFFEX,T0
2017-01-24,97.185,97.345,96.26,96.27,27081,0,0.0,10年期国债期货,CFFEX,T0
2017-01-25,94.565,94.765,94.29,94.6,53533,0,0.0,10年期国债期货,CFFEX,T0
2017-01-26,94.56,94.67,94.17,94.27,28293,0,94.27,10年期国债期货,CFFEX,T0
2017-02-03,94.27,94.52,92.96,93.495,48312,0,0.0,10年期国债期货,CFFEX,T0
2017-02-06,93.32,93.765,93.305,93.365,43533,0,0.0,10年期国债期货,CFFEX,T0
2017-02-07,93.2,93.805,93.125,93.68,60748,0,0.0,10年期国债期货,CFFEX,T0
2017-02-08,93.73,94.18,93.725,94.18,57771,0,0.0,10年期国债期货,CFFEX,T0
2017-02-09,94.37,94.635,94.21,94.55,54471,0,0.0,10年期国债期货,CFFEX,T0
2017-02-10,94.49,94.52,94.265,94.355,40869,0,0.0,10年期国债期货,CFFEX,T0
2017-02-13,94.315,94.79,94.22,94.75,44641,0,0.0,10年期国债期货,CFFEX,T0
2017-02-14,94.69,94.9,94.315,94.495,62949,0,0.0,10年期国债期货,CFFEX,T0
2017-02-15,94.335,94.45,94.18,94.305,50508,0,0.0,10年期国债期货,CFFEX,T0
2017-02-16,94.34,95.145,94.305,95.145,52308,0,0.0,10年期国债期货,CFFEX,T0
2017-02-17,95.025,95.375,94.92,95.12,66495,0,0.0,10年期国债期货,CFFEX,T0
2017-02-20,95.295,95.66,95.215,95.625,51492,0,0.0,10年期国债期货,CFFEX,T0
2017-02-21,95.55,95.55,94.975,95.06,55177,0,0.0,10年期国债期货,CFFEX,T0
2017-02-22,94.805,95.67,94.805,95.62,65649,0,0.0,10年期国债期货,CFFEX,T0
2017-02-23,95.6,95.93,95.42,95.61,60564,0,95.64,10年期国债期货,CFFEX,T0
2017-02-24,95.61,95.96,95.38,95.655,64745,0,95.745,10年期国债期货,CFFEX,T0
2017-02-27,95.76,96.115,95.5,95.565,55850,0,0.0,10年期国债期货,CFFEX,T0
2017-02-28,95.5,95.915,95.45,95.83,49942,0,0.0,10年期国债期货,CFFEX,T0
2017-03-01,95.7,95.74,95.15,95.175,63650,0,0.0,10年期国债期货,CFFEX,T0
2017-03-02,95.095,95.3,94.96,95.115,49569,0,0.0,10年期国债期货,CFFEX,T0
2017-03-03,95.115,95.32,94.935,94.975,44542,0,0.0,10年期国债期货,CFFEX,T0
2017-03-06,95.0,95.085,94.86,94.935,37014,0,0.0,10年期国债期货,CFFEX,T0
2017-03-07,94.91,95.195,94.865,95.155,44347,0,0.0,10年期国债期货,CFFEX,T0
2017-03-08,95.16,95.235,94.635,94.675,54665,0,0.0,10年期国债期货,CFFEX,T0
2017-03-09,94.61,95.04,94.485,94.55,59041,0,0.0,10年期国债期货,CFFEX,T0
2017-03-10,94.505,94.75,94.47,94.685,40887,0,0.0,10年期国债期货,CFFEX,T0
2017-03-13,94.65,95.68,94.6,95.48,63019,0,95.265,10年期国债期货,CFFEX,T0
2017-03-14,95.38,95.61,95.295,95.55,53879,0,0.0,10年期国债期货,CFFEX,T0
2017-03-15,95.55,95.71,95.37,95.67,48927,0,0.0,10年期国债期货,CFFEX,T0
2017-03-16,95.91,96.68,95.815,96.355,109383,0,0.0,10年期国债期货,CFFEX,T0
2017-03-17,96.25,96.525,96.15,96.28,42851,0,0.0,10年期国债期货,CFFEX,T0
2017-03-20,96.3,96.545,96.12,96.365,43778,0,0.0,10年期国债期货,CFFEX,T0
2017-03-21,96.2,96.62,96.01,96.58,54341,0,0.0,10年期国债期货,CFFEX,T0
2017-03-22,96.66,96.765,96.425,96.58,42864,0,0.0,10年期国债期货,CFFEX,T0
2017-03-23,96.6,96.775,96.305,96.7,49448,0,0.0,10年期国债期货,CFFEX,T0
2017-03-24,96.655,97.45,96.57,97.315,65277,0,0.0,10年期国债期货,CFFEX,T0
2017-03-27,97.315,97.44,97.11,97.31,41506,0,0.0,10年期国债期货,CFFEX,T0
2017-03-28,97.4,97.48,96.87,96.91,55238,0,0.0,10年期国债期货,CFFEX,T0
2017-03-29,96.87,97.285,96.73,96.905,52717,0,0.0,10年期国债期货,CFFEX,T0
2017-03-30,96.91,96.99,96.59,96.85,60013,0,0.0,10年期国债期货,CFFEX,T0
2017-03-31,96.87,97.15,96.66,96.84,55970,0,96.85,10年期国债期货,CFFEX,T0
2017-04-05,97.01,97.225,96.325,96.54,55792,0,0.0,10年期国债期货,CFFEX,T0
2017-04-06,96.495,96.82,96.435,96.81,45997,0,0.0,10年期国债期货,CFFEX,T0
2017-04-07,96.825,97.165,96.815,97.16,58611,0,97.06,10年期国债期货,CFFEX,T0
2017-04-10,97.095,97.12,96.735,96.835,48719,0,0.0,10年期国债期货,CFFEX,T0
2017-04-11,96.775,97.0,96.62,96.935,49011,0,0.0,10年期国债期货,CFFEX,T0
2017-04-12,97.055,97.18,96.725,96.77,45579,0,0.0,10年期国债期货,CFFEX,T0
2017-04-13,96.91,97.075,96.58,96.905,54506,0,0.0,10年期国债期货,CFFEX,T0
