date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2023-04-21,96.09,96.28,96.01,96.21,11587,4556,0.0,30年期国债期货,CFFEX,TL0
2023-04-24,96.28,96.41,96.26,96.37,4385,5430,0.0,30年期国债期货,CFFEX,TL0
2023-04-25,96.4,96.48,96.32,96.4,7308,6115,0.0,30年期国债期货,CFFEX,TL0
2023-04-26,96.44,96.51,96.38,96.43,5745,6419,0.0,30年期国债期货,CFFEX,TL0
2023-04-27,96.57,96.79,96.47,96.79,4479,6411,0.0,30年期国债期货,CFFEX,TL0
2023-04-28,96.79,96.79,96.55,96.64,4379,6370,0.0,30年期国债期货,CFFEX,TL0
2023-05-04,96.89,97.1,96.89,97.1,4220,6731,0.0,30年期国债期货,CFFEX,TL0
2023-05-05,97.16,97.57,97.13,97.45,5865,7262,0.0,30年期国债期货,CFFEX,TL0
2023-05-08,97.38,97.38,97.05,97.1,5165,7548,0.0,30年期国债期货,CFFEX,TL0
2023-05-09,97.15,97.23,97.08,97.17,5418,7501,0.0,30年期国债期货,CFFEX,TL0
2023-05-10,97.31,97.41,97.25,97.27,6545,7294,0.0,30年期国债期货,CFFEX,TL0
2023-05-11,97.51,97.69,97.4,97.45,4683,6556,0.0,30年期国债期货,CFFEX,TL0
2023-05-12,97.29,97.41,97.24,97.35,6230,6166,0.0,30年期国债期货,CFFEX,TL0
2023-05-15,97.26,97.4,97.12,97.23,3779,5713,0.0,30年期国债期货,CFFEX,TL0
2023-05-16,97.23,97.29,97.09,97.26,3187,4943,0.0,30年期国债期货,CFFEX,TL0
2023-05-17,97.29,97.35,97.11,97.21,1931,4535,0.0,30年期国债期货,CFFEX,TL0
2023-05-18,97.11,97.18,96.97,97.17,2078,4092,0.0,30年期国债期货,CFFEX,TL0
2023-05-19,96.83,97.0,96.79,96.97,5917,8538,0.0,30年期国债期货,CFFEX,TL0
2023-05-22,96.97,97.06,96.89,96.96,6401,8883,0.0,30年期国债期货,CFFEX,TL0
2023-05-23,97.01,97.24,97.01,97.15,5062,9249,0.0,30年期国债期货,CFFEX,TL0
