,code,code_name,first_appear_date
134,sh.600666,奥瑞德,2016-07-01
135,sh.600674,川投能源,2015-01-01
136,sh.600682,南京新百,2017-07-01
137,sh.600685,中船防务,2016-07-01
138,sh.600688,上海石化,2015-01-01
139,sh.600690,青岛海尔,2015-01-01
140,sh.600703,三安光电,2015-01-01
141,sh.600704,物产中大,2016-07-01
142,sh.600705,中航资本,2015-01-01
143,sh.600717,天津港,2015-07-01
144,sh.600718,东软集团,2015-01-01
145,sh.600732,爱旭股份,2023-07-01
146,sh.600733,北汽蓝谷,2019-07-01
147,sh.600737,中粮糖业,2016-07-01
148,sh.600739,辽宁成大,2015-01-01
149,sh.600741,华域汽车,2015-01-01
150,sh.600745,闻泰科技,2020-07-01
151,sh.600754,锦江股份,2017-01-01
152,sh.600760,中航沈飞,2019-01-01
153,sh.600763,通策医疗,2021-01-01
154,sh.600783,鲁信创投,2015-01-01
155,sh.600795,国电电力,2015-01-01
156,sh.600803,新奥股份,2023-07-01
157,sh.600804,鹏博士,2015-01-01
158,sh.600809,山西汾酒,2015-01-01
159,sh.600816,安信信托,2016-07-01
160,sh.600820,隧道股份,2016-01-01
161,sh.600827,百联股份,2015-01-01
162,sh.600832,东方明珠,2015-01-01
163,sh.600837,海通证券,2015-01-01
164,sh.600839,四川长虹,2015-01-01
165,sh.600845,宝信软件,2021-01-01
166,sh.600848,上海临港,2020-01-01
167,sh.600863,内蒙华电,2015-01-01
168,sh.600867,通化东宝,2015-01-01
169,sh.600871,*ST油服,2016-07-01
170,sh.600872,中炬高新,2021-01-01
171,sh.600873,梅花生物,2015-01-01
172,sh.600875,东方电气,2015-01-01
173,sh.600880,博瑞传播,2015-01-01
174,sh.600884,杉杉股份,2023-07-01
175,sh.600886,国投电力,2015-01-01
176,sh.600887,伊利股份,2015-01-01
177,sh.600893,航发动力,2015-01-01
178,sh.600895,张江高科,2016-01-01
179,sh.600900,长江电力,2015-01-01
180,sh.600905,三峡能源,2022-07-01
181,sh.600909,华安证券,2017-07-01
182,sh.600918,中泰证券,2021-01-01
183,sh.600919,江苏银行,2017-07-01
184,sh.600926,杭州银行,2017-07-01
185,sh.600928,西安银行,2020-01-01
186,sh.600938,中国海油,2024-01-01
187,sh.600941,中国移动,2022-07-01
188,sh.600958,东方证券,2015-07-01
189,sh.600959,江苏有线,2016-01-01
190,sh.600968,海油发展,2020-01-01
191,sh.600977,中国电影,2017-07-01
192,sh.600989,宝丰能源,2020-01-01
193,sh.600998,九州通,2015-01-01
194,sh.600999,招商证券,2015-01-01
195,sh.601006,大秦铁路,2015-01-01
196,sh.601009,南京银行,2015-01-01
197,sh.601012,隆基股份,2018-01-01
198,sh.601016,节能风电,2016-01-01
199,sh.601018,宁波港,2015-01-01
200,sh.601021,春秋航空,2015-07-01
201,sh.601059,信达证券,2024-01-01
202,sh.601066,中信建投,2019-01-01
203,sh.601077,渝农商行,2020-07-01
204,sh.601088,中国神华,2015-01-01
205,sh.601098,中南传媒,2015-01-01
206,sh.601099,太平洋,2015-07-01
207,sh.601100,恒立液压,2020-07-01
208,sh.601106,中国一重,2015-07-01
209,sh.601108,财通证券,2018-07-01
210,sh.601111,中国国航,2015-01-01
211,sh.601117,中国化学,2015-01-01
212,sh.601118,海南橡胶,2015-01-01
213,sh.601127,小康股份,2017-01-01
214,sh.601136,首创证券,2025-01-01
215,sh.601138,工业富联,2019-01-01
216,sh.601155,新城控股,2017-01-01
217,sh.601158,重庆水务,2015-01-01
218,sh.601162,天风证券,2019-07-01
219,sh.601163,三角轮胎,2017-07-01
220,sh.601166,兴业银行,2015-01-01
221,sh.601168,西部矿业,2015-01-01
222,sh.601169,北京银行,2015-01-01
223,sh.601179,中国西电,2015-01-01
224,sh.601186,中国铁建,2015-01-01
225,sh.601198,东兴证券,2016-01-01
226,sh.601211,国泰君安,2016-01-01
227,sh.601212,白银有色,2018-01-01
228,sh.601216,君正集团,2015-01-01
229,sh.601225,陕西煤业,2015-01-01
230,sh.601228,广州港,2018-01-01
231,sh.601229,上海银行,2017-07-01
232,sh.601231,环旭电子,2015-01-01
233,sh.601236,红塔证券,2020-01-01
234,sh.601238,广汽集团,2016-01-01
235,sh.601258,庞大集团,2015-01-01
236,sh.601288,农业银行,2015-01-01
237,sh.601298,青岛港,2019-07-01
238,sh.601299,中国北车,2015-01-01
239,sh.601318,中国平安,2015-01-01
240,sh.601319,中国人保,2019-07-01
241,sh.601328,交通银行,2015-01-01
242,sh.601333,广深铁路,2015-01-01
243,sh.601336,新华保险,2015-01-01
244,sh.601360,三六零,2018-07-01
245,sh.601375,中原证券,2017-07-01
246,sh.601377,兴业证券,2015-01-01
247,sh.601390,中国中铁,2015-01-01
248,sh.601398,工商银行,2015-01-01
249,sh.601555,东吴证券,2015-01-01
250,sh.601577,长沙银行,2019-07-01
251,sh.601600,中国铝业,2015-01-01
252,sh.601601,中国太保,2015-01-01
253,sh.601607,上海医药,2015-01-01
254,sh.601608,中信重工,2016-01-01
255,sh.601611,中国核建,2017-01-01
256,sh.601615,明阳智能,2023-07-01
257,sh.601618,中国中冶,2015-01-01
258,sh.601628,中国人寿,2015-01-01
259,sh.601633,长城汽车,2015-01-01
260,sh.601658,邮储银行,2020-07-01
261,sh.601668,中国建筑,2015-01-01
262,sh.601669,中国电建,2015-01-01
263,sh.601688,华泰证券,2015-01-01
264,sh.601689,拓普集团,2023-07-01
265,sh.601696,中银证券,2021-01-01
266,sh.601698,中国卫通,2020-01-01
267,sh.601699,潞安环能,2015-01-01
268,sh.601718,际华集团,2016-01-01
269,sh.601727,上海电气,2015-01-01
270,sh.601728,中国电信,2022-07-01
271,sh.601766,中国中车,2015-01-01
272,sh.601788,光大证券,2015-07-01
273,sh.601799,星宇股份,2022-01-01
274,sh.601800,中国交建,2015-01-01
275,sh.601808,中海油服,2015-01-01
276,sh.601816,京沪高铁,2020-07-01
277,sh.601818,光大银行,2015-01-01
278,sh.601825,沪农商行,2022-07-01
279,sh.601828,美凯龙,2018-07-01
280,sh.601838,成都银行,2018-07-01
281,sh.601857,中国石油,2015-01-01
282,sh.601865,福莱特,2022-07-01
283,sh.601866,中远海发,2015-01-01
284,sh.601868,中国能建,2022-07-01
285,sh.601872,招商轮船,2016-01-01
286,sh.601877,正泰电器,2017-01-01
287,sh.601878,浙商证券,2018-01-01
288,sh.601881,中国银河,2017-07-01
289,sh.601888,中国国旅,2015-01-01
290,sh.601898,中煤能源,2015-01-01
291,sh.601899,紫金矿业,2015-01-01
292,sh.601901,方正证券,2015-01-01
293,sh.601916,浙商银行,2020-07-01
294,sh.601919,中远海控,2015-07-01
295,sh.601928,凤凰传媒,2015-01-01
296,sh.601929,吉视传媒,2015-01-01
297,sh.601933,永辉超市,2015-01-01
298,sh.601939,建设银行,2015-01-01
299,sh.601958,金钼股份,2015-01-01
300,sh.601966,玲珑轮胎,2017-07-01
301,sh.601969,海南矿业,2015-07-01
302,sh.601985,中国核电,2016-01-01
303,sh.601988,中国银行,2015-01-01
304,sh.601989,中国重工,2015-01-01
305,sh.601990,南京证券,2021-01-01
306,sh.601991,大唐发电,2015-07-01
307,sh.601992,金隅集团,2015-01-01
308,sh.601995,中金公司,2022-01-01
309,sh.601997,贵阳银行,2017-07-01
310,sh.601998,中信银行,2015-01-01
311,sh.603000,人民网,2015-01-01
312,sh.603019,中科曙光,2019-07-01
313,sh.603087,甘李药业,2021-01-01
314,sh.603156,养元饮品,2019-01-01
315,sh.603160,汇顶科技,2017-07-01
316,sh.603185,上机数控,2022-07-01
317,sh.603195,公牛集团,2021-01-01
318,sh.603233,大参林,2022-01-01
319,sh.603259,药明康德,2019-01-01
320,sh.603260,合盛硅业,2018-07-01
321,sh.603288,海天味业,2015-01-01
322,sh.603290,斯达半导,2022-07-01
323,sh.603296,华勤技术,2024-07-01
324,sh.603338,浙江鼎力,2022-01-01
325,sh.603369,今世缘,2020-07-01
326,sh.603392,万泰生物,2021-01-01
327,sh.603486,科沃斯,2022-07-01
328,sh.603501,韦尔股份,2020-01-01
329,sh.603517,绝味食品,2022-01-01
330,sh.603658,安图生物,2020-07-01
331,sh.603659,璞泰来,2022-01-01
332,sh.603699,纽威股份,2015-01-01
333,sh.603799,华友钴业,2018-01-01
334,sh.603806,福斯特,2022-01-01
335,sh.603833,欧派家居,2018-01-01
336,sh.603858,步长制药,2017-07-01
337,sh.603882,金域医学,2022-01-01
338,sh.603885,吉祥航空,2016-01-01
339,sh.603899,晨光文具,2020-01-01
340,sh.603939,益丰药房,2022-01-01
341,sh.603986,兆易创新,2019-01-01
